Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,Continent_Country,Lat_Long
GT,2023-03-10,1238589,540,20182.0,0.0,1217369.0,522,1038.0,5,6983862.0,18584039,NA,15,"NA,GT","(15.5855545, -90.345759)"
GN,2023-03-10,38267,0,467.0,0.0,37757.0,0,43.0,8,660107.0,13865691,AF,362,"AF,GN","(8.0300284, -1.0800271)"
GW,2023-03-10,8960,0,176.0,0.0,8660.0,0,124.0,6,145231.0,2063367,AF,230,"AF,GW","(11.815215, -15.2351044)"
HT,2023-03-10,34202,0,860.0,0.0,33052.0,0,290.0,0,132422.0,11680283,NA,342,"NA,HT","(19.1399952, -72.3570972)"
HN,2023-03-10,472301,51,11111.0,0.0,132546.0,0,328644.0,105,1638354.0,10221247,NA,22,"NA,HN","(15.2572432, -86.0755145)"
HK,2023-03-10,2883887,36,13467.0,0.0,2864257.0,443,6163.0,28,76127725.0,7604299,AS,3,"AS,HK","(22.350627, 114.1849161)"
HU,2023-03-10,2196804,0,48762.0,0.0,2143788.0,0,4254.0,14,11394556.0,9606259,EU,4,"EU,HU","(47.1817585, 19.5060937)"
IN,2023-03-10,44689968,456,530780.0,1.0,44155439.0,0,3749.0,0,919485211.0,1406631776,AS,31,"AS,IN","(22.3511148, 78.6677428)"
ID,2023-03-10,6738520,295,160944.0,3.0,6574373.0,196,3203.0,0,114158919.0,279134505,AS,41,"AS,ID","(-2.4833826, 117.8902853)"
IR,2023-03-10,7572759,448,144941.0,8.0,7340183.0,96,87635.0,398,55353767.0,86022837,AS,11,"AS,IR","(32.6475314, 54.5643516)"
IQ,2023-03-10,2465545,0,25375.0,0.0,2439497.0,0,673.0,21,19544451.0,42164965,AS,17,"AS,IQ","(33.0955793, 44.1749775)"
IE,2023-03-10,1704502,0,8708.0,0.0,1693292.0,137,2502.0,11,13041966.0,5020199,EU,3,"EU,IE","(52.865196, -7.9794599)"
IL,2023-03-10,4804197,364,12329.0,0.0,4781252.0,0,10616.0,57,41373364.0,9326000,AS,2,"AS,IL","(40.0796606, -89.4337288)"
IT,2023-03-10,25627473,0,188538.0,0.0,25294864.0,0,144071.0,104,268674307.0,60262770,EU,2,"EU,IT","(42.6384261, 12.674297)"
CI,2023-03-10,88268,5,834.0,0.0,87416.0,5,18.0,0,1681580.0,27742298,AF,314,"AF,CI","(7.9897371, -5.5679458)"
JM,2023-03-10,154416,0,3514.0,0.0,102529.0,0,48373.0,0,1183986.0,2985094,NA,19,"NA,JM","(18.1850507, -77.3947693)"
JP,2023-03-10,33307409,9113,73038.0,49.0,21699006.0,1263,11535365.0,116,96082498.0,125584838,AS,4,"AS,JP","(36.5748441, 139.2394179)"
JO,2023-03-10,1746997,0,14122.0,0.0,1731007.0,0,1868.0,59,17201885.0,10300869,AS,6,"AS,JO","(31.1667049, 36.941628)"
KZ,2023-03-10,1408124,0,13846.0,0.0,1383020.0,0,11258.0,24,11575012.0,19205043,AS,14,"AS,KZ","(48.1012954, 66.7780818)"
KE,2023-03-10,342937,0,5688.0,0.0,337222.0,0,27.0,1,3967062.0,56215221,AF,164,"AF,KE","(1.4419683, 38.4313975)"
KW,2023-03-10,663860,0,2570.0,0.0,660237.0,0,1053.0,0,8455743.0,4380326,AS,7,"AS,KW","(29.2733964, 47.4979476)"
KG,2023-03-10,206708,0,2991.0,0.0,196406.0,0,7311.0,131,1907195.0,6728271,AS,33,"AS,KG","(41.5089324, 74.724091)"
LA,2023-03-10,218023,0,758.0,0.0,7662.0,0,209603.0,0,1233207.0,7481023,AS,34,"AS,LA","(34.0536909, -118.242766)"
LV,2023-03-10,976267,12,6253.0,0.0,969667.0,25,347.0,13,7866544.0,1848837,EU,2,"EU,LV","(56.8406494, 24.7537645)"
LB,2023-03-10,1232936,108,10842.0,1.0,1087587.0,0,134507.0,74,4795578.0,6684849,AS,5,"AS,LB","(33.8750629, 35.843409)"
