Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Active Cases/1M pop
Bosnia and Herzegovina,2023-03-05,401636,0,16279.0,0.0,379083.0,0,6274.0,0,1884721.0,3249317,Europe,8,200,2.0,1931.0
Bosnia and Herzegovina,2023-03-06,401636,0,16279.0,0.0,379083.0,0,6274.0,0,1884721.0,3249317,Europe,8,200,2.0,1931.0
Botswana,2023-03-02,329727,0,2801.0,0.0,326867.0,0,59.0,1,2026898.0,2441162,Africa,7,872,1.0,24.0
Botswana,2023-03-03,329727,0,2801.0,0.0,326867.0,0,59.0,1,2026898.0,2441162,Africa,7,872,1.0,24.0
Botswana,2023-03-04,329727,0,2801.0,0.0,326867.0,0,59.0,1,2026898.0,2441162,Africa,7,872,1.0,24.0
Botswana,2023-03-05,329727,0,2801.0,0.0,326867.0,0,59.0,1,2026898.0,2441162,Africa,7,872,1.0,24.0
Botswana,2023-03-06,329727,0,2801.0,0.0,326867.0,0,59.0,1,2026898.0,2441162,Africa,7,872,1.0,24.0
Brazil,2023-03-02,37066791,3327,699230.0,33.0,36240933.0,0,126628.0,0,63776166.0,215353593,South America,6,308,3.0,588.0
Brazil,2023-03-03,37076053,9262,699276.0,46.0,36249072.0,8160,127705.0,0,63776166.0,215353593,South America,6,308,3.0,593.0
Brazil,2023-03-04,37076053,0,699276.0,0.0,36249072.0,0,127705.0,0,63776166.0,215353593,South America,6,308,3.0,593.0
Brazil,2023-03-05,37076053,0,699276.0,0.0,36249072.0,0,127705.0,0,63776166.0,215353593,South America,6,308,3.0,593.0
Brazil,2023-03-06,37076053,0,699276.0,0.0,36249072.0,0,127705.0,0,63776166.0,215353593,South America,6,308,3.0,593.0
Bulgaria,2023-03-02,1296913,60,38217.0,0.0,1255712.0,47,2984.0,26,11058270.0,6844597,Europe,5,179,1.0,436.0
Bulgaria,2023-03-03,1297006,93,38219.0,2.0,1255858.0,150,2929.0,25,11061072.0,6844597,Europe,5,179,1.0,428.0
Bulgaria,2023-03-04,1297037,31,38219.0,0.0,1255861.0,2,2957.0,25,11061733.0,6844597,Europe,5,179,1.0,432.0
Bulgaria,2023-03-05,1297062,25,38219.0,0.0,1255866.0,2,2977.0,24,11062249.0,6844597,Europe,5,179,1.0,435.0
Bulgaria,2023-03-06,1297062,0,38219.0,0.0,1255866.0,0,2977.0,24,11062249.0,6844597,Europe,5,179,1.0,435.0
Burkina Faso,2023-03-02,22056,0,396.0,0.0,21594.0,0,66.0,0,248995.0,22102838,Africa,"1,002","55,815",89.0,3.0
Burkina Faso,2023-03-03,22056,0,396.0,0.0,21594.0,0,66.0,0,248995.0,22102838,Africa,"1,002","55,815",89.0,3.0
Burkina Faso,2023-03-04,22056,0,396.0,0.0,21594.0,0,66.0,0,248995.0,22102838,Africa,"1,002","55,815",89.0,3.0
Burkina Faso,2023-03-05,22056,0,396.0,0.0,21594.0,0,66.0,0,248995.0,22102838,Africa,"1,002","55,815",89.0,3.0
Burkina Faso,2023-03-06,22056,0,396.0,0.0,21594.0,0,66.0,0,248995.0,22102838,Africa,"1,002","55,815",89.0,3.0
Burundi,2023-03-02,53631,0,38.0,0.0,53568.0,0,25.0,0,345742.0,12624840,Africa,235,"332,233",37.0,2.0
Burundi,2023-03-03,53631,0,38.0,0.0,53568.0,0,25.0,0,345742.0,12624840,Africa,235,"332,233",37.0,2.0
Burundi,2023-03-04,53631,0,38.0,0.0,53568.0,0,25.0,0,345742.0,12624840,Africa,235,"332,233",37.0,2.0
Burundi,2023-03-05,53631,0,38.0,0.0,53568.0,0,25.0,0,345742.0,12624840,Africa,235,"332,233",37.0,2.0
Burundi,2023-03-06,53631,0,38.0,0.0,53568.0,0,25.0,0,345742.0,12624840,Africa,235,"332,233",37.0,2.0
CAR,2023-03-02,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,"44,395",62.0,11.0
CAR,2023-03-03,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,"44,395",62.0,11.0
